1000 48356
3 20 0
3 23 6
3 27 13
3 41 8
3 53 13
3 101 13
3 110 10
3 149 8
3 151 15
3 202 10
3 215 8
3 222 9
3 245 3
3 253 2
3 352 13
3 353 1
3 369 3
3 372 13
3 398 0
3 401 15
3 432 15
3 451 7
3 455 12
3 493 0
3 539 15
3 545 11
3 570 12
3 598 6
3 601 7
3 616 2
3 674 11
3 676 9
3 696 1
3 775 10
3 811 3
3 819 2
3 845 9
3 864 10
3 871 14
3 875 6
3 887 8
3 916 5
3 927 14
3 944 9
3 950 0
3 974 6
3 982 14
3 986 2
3 511 14
3 524 6
3 537 13
3 546 10
3 551 10
3 569 5
3 584 15
3 585 4
3 603 15
3 651 2
3 659 6
3 681 13
3 684 15
3 700 6
3 710 2
3 736 6
3 767 4
3 794 14
3 814 1
3 832 8
3 868 11
3 877 11
3 892 6
3 942 15
3 948 6
3 996 8
4 16 6
4 40 11
4 46 6
4 50 0
4 66 9
4 89 7
4 108 0
4 141 6
4 154 11
4 200 6
4 215 11
4 258 0
4 264 10
4 276 11
4 279 5
4 280 8
4 284 3
4 333 3
4 338 15
4 344 2
4 360 3
4 381 1
4 441 13
4 443 0
4 486 13
4 492 9
4 511 0
4 517 5
4 526 15
4 530 12
4 534 6
4 557 15
4 587 9
4 589 13
4 613 13
4 636 6
4 679 13
4 705 4
4 711 6
4 713 9
4 760 2
4 766 4
4 773 11
4 779 10
4 795 1
4 803 10
4 816 7
4 829 5
4 847 7
4 910 5
4 931 11
4 952 11
4 962 13
4 974 9
4 984 10
4 989 13
4 991 11
4 506 6
4 518 2
4 559 9
4 563 15
4 596 10
4 632 3
4 658 1
4 677 6
4 691 8
4 693 0
4 697 7
4 710 15
4 748 11
4 754 0
4 787 14
4 832 1
4 862 3
4 864 7
4 892 5
4 951 13
4 961 12
4 977 1
5 0 1
5 51 15
5 52 9
5 53 2
5 91 7
5 109 8
5 111 2
5 114 8
5 126 9
5 151 15
5 171 3
5 180 13
5 182 12
5 204 14
5 231 15
5 264 2
5 274 0
5 290 7
5 296 4
5 306 3
5 323 13
5 370 0
5 410 13
5 490 10
5 497 9
5 559 4
5 582 12
5 592 7
5 636 3
5 645 4
5 646 12
5 668 3
5 683 3
5 689 7
5 701 2
5 714 2
5 715 4
5 719 10
5 721 3
5 729 9
5 785 6
5 795 7
5 840 13
5 855 3
5 925 5
5 937 4
5 945 2
5 988 7
5 512 2
5 536 1
5 573 4
5 638 4
5 640 12
5 642 10
5 674 13
5 695 3
5 710 4
5 728 5
5 772 3
5 780 1
5 798 9
5 863 0
5 870 9
5 882 13
5 887 13
5 912 12
5 915 12
5 920 9
5 947 3
6 19 10
6 55 4
6 59 12
6 83 3
6 85 8
6 98 14
6 102 5
6 115 11
6 136 15
6 161 2
6 168 12
6 179 9
6 187 2
6 189 2
6 194 1
6 200 9
6 217 3
6 220 9
6 231 14
6 236 9
6 249 2
6 266 7
6 271 8
6 279 1
6 284 12
6 291 11
6 314 2
6 315 5
6 363 13
6 400 15
6 407 4
6 419 7
6 436 14
6 438 1
6 445 6
6 453 11
6 462 12
6 496 15
6 526 1
6 600 9
6 614 9
6 621 12
6 688 0
6 708 2
6 718 11
6 725 1
6 740 3
6 775 2
6 787 11
6 796 7
6 808 14
6 813 9
6 823 4
6 826 10
6 886 11
6 920 14
6 955 4
6 982 9
6 984 13
6 504 9
6 519 7
6 548 15
6 560 3
6 571 5
6 582 6
6 592 9
6 597 8
6 601 1
6 609 11
6 648 6
6 668 6
6 682 7
6 707 15
6 715 8
6 727 3
6 777 8
6 851 9
6 878 2
6 882 13
6 919 8
7 43 9
7 45 6
7 65 14
7 71 4
7 74 8
7 89 11
7 92 10
7 103 7
7 113 0
7 126 12
7 142 0
7 158 14
7 217 10
7 244 6
7 247 5
7 263 0
7 265 15
7 288 7
7 300 3
7 311 14
7 387 13
7 396 10
7 434 9
7 464 4
7 466 9
7 473 5
7 522 4
7 545 11
7 557 14
7 569 15
7 594 15
7 595 4
7 604 7
7 614 11
7 639 14
7 674 2
7 686 4
7 742 5
7 790 11
7 801 7
7 825 3
7 849 9
7 856 9
7 899 1
7 915 3
7 935 13
7 938 2
7 987 2
7 994 9
7 538 14
7 574 8
7 580 13
7 631 0
7 643 0
7 651 11
7 655 11
7 657 4
7 701 15
7 734 9
7 749 9
7 762 8
7 765 10
7 775 13
7 781 11
7 786 15
7 800 6
7 847 9
7 860 3
7 877 10
7 891 2
7 892 9
7 898 8
7 969 3
8 13 13
8 22 1
8 24 10
8 42 2
8 58 0
8 79 12
8 103 8
8 106 1
8 121 12
8 196 4
8 205 14
8 210 13
8 227 1
8 245 14
8 261 15
8 274 13
8 300 3
8 310 15
8 320 14
8 322 4
8 325 10
8 332 9
8 334 7
8 340 0
8 361 1
8 369 12
8 376 4
8 418 6
8 440 2
8 443 2
8 474 4
8 479 3
8 515 1
8 528 5
8 546 4
8 549 13
8 554 14
8 572 5
8 576 9
8 585 1
8 599 4
8 612 4
8 649 6
8 667 9
8 717 0
8 727 15
8 754 10
8 813 14
8 900 0
8 910 6
8 931 5
8 945 7
8 957 5
8 989 5
8 500 1
8 516 9
8 525 10
8 530 8
8 545 5
8 596 12
8 633 3
8 637 12
8 675 2
8 700 7
8 709 13
8 740 14
8 747 12
8 757 6
8 765 2
8 770 9
8 771 13
8 842 15
8 849 15
8 860 12
8 861 4
8 893 1
8 939 13
8 948 3
8 953 5
8 967 9
8 982 14
9 1 10
9 4 0
9 10 14
9 29 8
9 35 15
9 47 5
9 50 1
9 57 3
9 63 14
9 64 3
9 78 10
9 84 5
9 99 9
9 100 2
9 118 6
9 143 0
9 178 1
9 196 15
9 243 12
9 250 15
9 260 6
9 269 2
9 274 3
9 308 6
9 313 6
9 319 14
9 355 2
9 365 14
9 384 10
9 395 10
9 414 14
9 439 11
9 521 7
9 545 0
9 547 13
9 549 6
9 569 15
9 607 9
9 612 9
9 651 9
9 653 11
9 726 14
9 728 14
9 746 8
9 752 10
9 772 1
9 797 12
9 844 0
9 870 14
9 880 15
9 888 14
9 931 15
9 932 2
9 945 3
9 954 5
9 501 9
9 511 10
9 539 5
9 571 1
9 603 11
9 626 5
9 648 7
9 654 2
9 664 8
9 707 7
9 712 6
9 733 7
9 748 8
9 760 14
9 776 0
9 790 3
9 796 2
9 857 9
9 864 2
9 908 1
9 926 3
9 964 8
9 968 10
9 987 2
10 21 11
10 51 13
10 58 13
10 63 4
10 65 7
10 92 13
10 110 6
10 113 7
10 131 15
10 260 9
10 279 8
10 319 6
10 338 15
10 362 15
10 382 5
10 392 8
10 414 12
10 415 5
10 437 5
10 454 4
10 460 3
10 471 6
10 474 12
10 476 3
10 485 0
10 530 5
10 678 9
10 696 7
10 719 3
10 760 13
10 761 10
10 777 1
10 784 8
10 788 1
10 797 2
10 805 7
10 910 15
10 938 12
10 939 3
10 952 10
10 953 9
10 954 13
10 997 14
10 503 13
10 519 13
10 528 7
10 598 6
10 599 0
10 670 15
10 697 11
10 713 8
10 752 4
10 793 3
10 823 4
10 837 12
10 886 2
10 905 13
10 987 8
11 65 15
11 77 15
11 80 3
11 167 5
11 176 15
11 181 13
11 193 9
11 196 11
11 213 5
11 227 8
11 270 14
11 298 3
11 301 3
11 316 1
11 330 3
11 339 14
11 389 6
11 390 13
11 391 9
11 412 14
11 413 4
11 423 15
11 469 15
11 474 3
11 523 10
11 525 10
11 599 7
11 624 0
11 655 3
11 669 10
11 690 15
11 740 4
11 763 5
11 769 12
11 777 6
11 836 5
11 842 11
11 878 14
11 881 12
11 883 8
11 913 9
11 934 9
11 503 9
11 518 8
11 526 9
11 559 15
11 576 7
11 604 5
11 608 3
11 622 15
11 632 4
11 643 12
11 709 5
11 716 15
11 755 7
11 757 10
11 786 11
11 812 7
11 827 4
11 840 8
11 843 0
11 849 12
11 929 7
11 936 6
11 939 3
11 973 15
11 980 8
11 991 12
11 992 12
11 996 5
12 10 8
12 24 0
12 35 9
12 49 15
12 134 6
12 180 6
12 181 11
12 185 2
12 194 3
12 201 12
12 252 10
12 286 7
12 292 11
12 324 9
12 346 3
12 372 0
12 389 11
12 423 8
12 466 10
12 467 2
12 558 10
12 565 11
12 567 10
12 602 8
12 649 13
12 650 11
12 657 1
12 731 3
12 744 11
12 747 5
12 792 12
12 827 0
12 859 10
12 877 5
12 899 7
12 915 6
12 963 6
12 966 9
12 980 2
12 501 4
12 502 15
12 504 11
12 559 0
12 560 11
12 563 2
12 572 15
12 580 7
12 619 3
12 673 2
12 675 14
12 678 2
12 703 4
12 716 15
12 780 3
12 805 3
12 837 6
12 846 12
12 851 9
12 860 2
12 878 4
12 882 5
12 891 6
12 897 0
12 914 0
12 920 4
12 948 10
12 995 5
13 6 4
13 9 12
13 44 7
13 53 12
13 69 6
13 95 3
13 169 9
13 172 2
13 175 3
13 224 4
13 239 6
13 246 10
13 264 0
13 278 3
13 288 5
13 290 3
13 313 12
13 328 9
13 341 4
13 348 12
13 355 11
13 362 0
13 368 15
13 379 0
13 391 0
13 406 5
13 415 1
13 417 9
13 428 11
13 444 3
13 453 14
13 484 1
13 499 13
13 516 6
13 536 3
13 560 9
13 563 5
13 594 0
13 632 9
13 671 1
13 681 4
13 687 5
13 695 1
13 701 10
13 715 10
13 761 1
13 812 4
13 832 14
13 870 1
13 910 7
13 911 13
13 912 14
13 918 11
13 948 11
13 973 0
13 556 5
13 618 10
13 621 7
13 623 13
13 652 4
13 661 12
13 672 10
13 675 14
13 678 10
13 707 9
13 711 4
13 727 2
13 730 9
13 745 12
13 771 1
13 838 1
13 866 8
13 881 12
13 900 5
13 908 15
13 928 15
13 942 14
13 990 1
13 995 7
13 997 9
14 12 0
14 23 12
14 31 3
14 89 4
14 104 14
14 106 15
14 152 0
14 187 0
14 188 14
14 200 14
14 206 2
14 219 1
14 224 4
14 230 14
14 231 0
14 252 12
14 262 15
14 271 12
14 272 4
14 289 10
14 295 3
14 320 10
14 333 10
14 393 8
14 419 15
14 492 13
14 498 2
14 521 10
14 524 14
14 552 15
14 563 9
14 569 7
14 655 7
14 659 4
14 681 6
14 688 4
14 724 2
14 744 8
14 756 8
14 759 15
14 796 14
14 814 8
14 829 11
14 835 2
14 847 7
14 859 5
14 880 14
14 881 2
14 921 10
14 938 12
14 980 13
14 986 14
14 989 7
14 506 0
14 529 5
14 629 1
14 656 4
14 678 15
14 727 8
14 731 3
14 770 8
14 808 11
14 816 10
14 865 0
14 882 7
14 899 9
14 901 7
14 951 10
14 967 6
14 978 15
14 995 5
15 11 15
15 13 15
15 57 8
15 79 7
15 84 9
15 162 9
15 236 15
15 245 1
15 257 8
15 259 1
15 337 2
15 367 13
15 369 12
15 503 3
15 518 1
15 526 15
15 527 7
15 532 4
15 543 15
15 549 11
15 592 13
15 623 9
15 641 6
15 658 14
15 665 1
15 682 10
15 731 11
15 733 1
15 774 8
15 796 0
15 809 9
15 835 9
15 859 4
15 865 11
15 866 6
15 885 15
15 890 6
15 905 13
15 968 14
15 986 11
15 506 9
15 528 14
15 606 5
15 609 13
15 617 4
15 622 15
15 726 6
15 768 2
15 782 7
15 858 13
15 871 4
15 875 14
15 914 0
15 942 12
15 944 9
15 960 9
15 993 13
16 0 11
16 14 1
16 32 13
16 106 0
16 108 7
16 123 4
16 145 2
16 170 8
16 181 11
16 208 4
16 272 9
16 282 6
16 301 13
16 319 0
16 320 0
16 322 4
16 351 12
16 398 11
16 402 15
16 404 3
16 406 2
16 432 3
16 452 13
16 499 0
16 517 15
16 518 14
16 544 9
16 553 3
16 578 5
16 585 7
16 619 9
16 630 6
16 650 6
16 656 4
16 688 14
16 704 7
16 746 10
16 830 4
16 835 2
16 844 14
16 863 14
16 886 14
16 908 15
16 939 13
16 940 14
16 958 6
16 961 5
16 990 1
16 501 14
16 503 7
16 508 4
16 533 0
16 551 5
16 565 11
16 590 15
16 643 15
16 702 5
16 722 15
16 752 14
16 757 11
16 775 10
16 798 13
16 805 6
16 885 4
16 895 8
16 909 15
16 919 15
17 71 5
17 169 6
17 195 12
17 203 10
17 225 13
17 230 9
17 242 12
17 270 11
17 274 13
17 321 3
17 371 4
17 376 0
17 380 5
17 381 0
17 406 2
17 422 3
17 478 11
17 501 3
17 506 15
17 518 7
17 531 3
17 539 7
17 554 3
17 566 8
17 570 2
17 590 2
17 592 13
17 601 10
17 603 6
17 606 5
17 637 15
17 648 6
17 699 6
17 708 6
17 734 12
17 751 0
17 797 7
17 802 10
17 835 11
17 847 9
17 852 4
17 886 11
17 939 13
17 944 2
17 975 11
17 513 2
17 522 8
17 542 9
17 549 15
17 553 4
17 565 8
17 584 4
17 605 1
17 616 13
17 643 10
17 650 0
17 654 13
17 736 8
17 742 6
17 758 5
17 773 5
17 789 1
17 796 6
17 938 9
17 954 14
17 982 12
17 997 2
18 33 2
18 64 13
18 74 14
18 87 5
18 155 4
18 163 1
18 177 7
18 207 0
18 210 14
18 227 14
18 263 11
18 271 8
18 324 6
18 330 9
18 334 11
18 352 13
18 393 5
18 395 13
18 437 11
18 441 1
18 471 14
18 564 8
18 565 5
18 621 7
18 635 11
18 654 7
18 678 14
18 700 11
18 717 1
18 718 3
18 751 14
18 772 7
18 774 13
18 786 11
18 799 10
18 807 2
18 874 8
18 896 5
18 897 1
18 903 6
18 917 11
18 921 10
18 947 5
18 985 6
18 528 7
18 535 5
18 554 4
18 557 5
18 559 8
18 569 9
18 577 10
18 589 5
18 611 5
18 628 6
18 645 5
18 673 13
18 681 6
18 683 13
18 727 0
18 739 1
18 761 11
18 771 9
18 848 7
18 861 5
18 866 15
18 881 12
18 916 13
18 936 9
18 946 4
19 3 3
19 5 11
19 10 15
19 45 15
19 49 5
19 52 4
19 59 2
19 93 5
19 99 9
19 104 9
19 108 3
19 132 5
19 137 6
19 141 10
19 165 11
19 190 2
19 204 5
19 217 12
19 221 14
19 222 7
19 227 0
19 257 13
19 272 15
19 309 8
19 381 2
19 395 7
19 419 1
19 425 5
19 432 5
19 433 1
19 449 8
19 457 3
19 462 8
19 471 2
19 489 0
19 491 2
19 520 15
19 564 10
19 570 8
19 598 1
19 600 13
19 604 0
19 638 7
19 660 8
19 666 8
19 690 7
19 706 15
19 742 12
19 758 8
19 760 7
19 789 3
19 791 1
19 792 3
19 801 11
19 817 15
19 834 11
19 855 8
19 874 15
19 877 15
19 904 2
19 926 5
19 936 15
19 937 12
19 951 6
19 506 0
19 508 13
19 542 11
19 548 10
19 594 8
19 614 5
19 618 11
19 623 4
19 649 13
19 682 15
19 696 12
19 704 0
19 716 15
19 744 2
19 747 13
19 773 11
19 775 15
19 777 2
19 779 8
19 827 3
19 847 10
19 859 14
19 890 13
19 892 10
19 907 14
19 916 12
19 919 5
19 925 7
19 934 11
19 962 15
19 992 5
19 993 5
20 9 12
20 22 14
20 50 10
20 54 5
20 139 8
20 173 12
20 180 9
20 213 2
20 260 6
20 279 2
20 297 0
20 309 4
20 310 12
20 320 9
20 344 7
20 348 1
20 354 11
20 361 3
20 401 14
20 418 13
20 424 6
20 471 6
20 485 3
20 486 6
20 490 4
20 509 7
20 560 15
20 572 1
20 574 8
20 580 2
20 586 2
20 612 4
20 622 13
20 639 9
20 641 5
20 663 2
20 664 10
20 667 8
20 668 8
20 673 9
20 713 8
20 727 2
20 744 14
20 748 7
20 753 4
20 764 1
20 806 2
20 811 8
20 850 13
20 880 13
20 886 4
20 899 14
20 901 1
20 905 8
20 908 11
20 921 7
20 931 2
20 943 7
20 946 3
20 966 9
20 976 1
20 996 5
20 998 15
20 594 9
20 619 13
20 625 6
20 637 11
20 643 0
20 649 15
20 650 2
20 676 12
20 715 5
20 730 4
20 776 10
20 785 13
20 795 8
20 829 5
20 832 0
20 865 7
21 24 5
21 33 4
21 43 13
21 75 15
21 86 0
21 108 15
21 116 4
21 168 3
21 244 7
21 303 5
21 336 13
21 337 9
21 354 14
21 365 7
21 391 10
21 421 7
21 430 7
21 435 8
21 456 9
21 466 4
21 489 0
21 492 15
21 499 11
21 528 8
21 538 10
21 558 4
21 562 15
21 565 1
21 584 12
21 603 3
21 617 14
21 637 8
21 643 12
21 681 4
21 683 7
21 722 12
21 734 6
21 749 10
21 760 7
21 778 9
21 838 11
21 848 13
21 860 14
21 863 7
21 924 7
21 926 4
21 928 3
21 935 13
21 966 2
21 983 13
21 992 8
21 995 10
21 545 11
21 583 8
21 673 0
21 724 3
21 758 0
21 777 9
21 780 1
21 799 2
21 800 7
21 845 1
21 850 11
21 897 9
21 931 10
21 950 9
21 981 11
21 998 3
22 11 6
22 55 8
22 66 10
22 93 7
22 111 3
22 114 7
22 128 2
22 129 1
22 199 8
22 239 7
22 241 11
22 298 4
22 301 13
22 309 9
22 353 11
22 361 5
22 369 14
22 372 15
22 390 5
22 405 15
22 429 5
22 468 7
22 474 10
22 482 6
22 506 14
22 521 4
22 590 5
22 620 10
22 628 5
22 643 10
22 686 11
22 712 15
22 727 4
22 762 12
22 763 7
22 768 6
22 791 10
22 799 15
22 827 11
22 836 14
22 879 12
22 881 10
22 886 14
22 891 0
22 901 8
22 915 5
22 933 8
22 938 0
22 941 5
22 943 14
22 998 10
22 502 6
22 524 0
22 544 9
22 549 7
22 568 15
22 589 7
22 602 9
22 608 8
22 646 12
22 671 12
22 715 15
22 775 7
22 784 2
22 828 8
22 860 4
22 899 3
22 928 2
22 982 3
22 985 4
22 989 9
23 37 15
23 47 1
23 53 11
23 58 0
23 71 7
23 100 7
23 116 9
23 211 0
23 284 11
23 303 1
23 309 14
23 313 6
23 316 6
23 321 10
23 327 9
23 330 2
23 356 12
23 364 3
23 366 0
23 375 11
23 383 3
23 447 12
23 458 0
23 507 10
23 513 2
23 522 10
23 560 6
23 630 14
23 640 7
23 691 10
23 698 5
23 715 11
23 733 14
23 777 12
23 783 3
23 806 2
23 808 7
23 843 3
23 850 1
23 872 0
23 917 5
23 921 14
23 927 7
23 980 7
23 995 9
23 508 14
23 526 7
23 542 12
23 550 4
23 554 8
23 555 3
23 575 8
23 584 15
23 592 12
23 595 5
23 605 0
23 618 14
23 631 1
23 636 6
23 651 0
23 657 11
23 695 15
23 706 6
23 742 10
23 754 10
23 756 10
23 810 8
23 841 7
23 875 7
23 901 0
23 952 7
23 975 4
23 996 7
24 77 7
24 103 3
24 105 9
24 111 10
24 133 7
24 214 15
24 224 5
24 225 8
24 319 3
24 350 2
24 369 3
24 376 8
24 402 11
24 406 5
24 409 12
24 415 15
24 422 9
24 423 4
24 434 5
24 449 1
24 454 11
24 483 10
24 486 0
24 503 13
24 504 15
24 512 0
24 524 3
24 558 10
24 560 3
24 566 2
24 569 2
24 589 14
24 603 0
24 643 10
24 662 5
24 663 3
24 674 2
24 681 3
24 696 11
24 714 11
24 724 4
24 745 13
24 750 4
24 771 2
24 780 13
24 821 6
24 893 1
24 924 12
24 926 12
24 947 3
24 950 14
24 962 15
24 969 7
24 973 1
24 997 2
24 550 6
24 574 13
24 584 12
24 652 1
24 728 14
24 743 12
24 748 5
24 811 8
24 816 2
24 823 12
24 848 14
24 887 7
24 934 9
24 945 0
24 946 11
24 970 15
24 975 10
24 977 0
24 996 7
25 10 14
25 16 12
25 22 8
25 32 1
25 35 5
25 102 3
25 107 13
25 120 9
25 126 7
25 129 9
25 141 5
25 203 6
25 207 7
25 219 5
25 220 12
25 225 11
25 227 0
25 251 9
25 256 10
25 281 10
25 310 12
25 317 13
25 321 13
25 346 7
25 399 7
25 431 4
25 461 7
25 474 8
25 488 5
25 512 13
25 519 2
25 563 13
25 564 12
25 599 0
25 615 9
25 629 7
25 670 0
25 707 14
25 730 8
25 751 15
25 761 4
25 770 12
25 775 0
25 795 7
25 850 12
25 868 6
25 898 8
25 928 3
25 945 2
25 502 13
25 571 13
25 573 7
25 584 13
25 596 13
25 630 7
25 635 13
25 650 14
25 687 4
25 700 13
25 738 9
25 741 2
25 778 6
25 806 4
25 842 11
25 846 15
25 883 7
25 885 4
25 897 4
25 940 6
25 962 10
25 971 8
26 0 14
26 17 7
26 53 1
26 55 15
26 110 12
26 135 7
26 136 12
26 149 3
26 160 13
26 185 9
26 192 11
26 200 12
26 205 13
26 218 7
26 224 0
26 232 5
26 241 12
26 248 12
26 249 13
26 265 6
26 274 10
26 275 10
26 286 9
26 290 8
26 374 15
26 395 8
26 410 4
26 416 2
26 431 5
26 442 0
26 464 3
26 476 13
26 500 15
26 520 10
26 534 3
26 548 12
26 549 2
26 575 13
26 596 7
26 605 8
26 607 3
26 709 5
26 711 2
26 718 2
26 741 12
26 754 3
26 763 13
26 804 6
26 811 6
26 853 10
26 856 7
26 868 2
26 882 14
26 889 1
26 922 7
26 937 10
26 951 7
26 502 12
26 512 14
26 561 14
26 589 6
26 592 13
26 593 2
26 598 12
26 604 4
26 609 13
26 641 10
26 642 14
26 655 4
26 684 4
26 701 12
26 720 7
26 731 4
26 772 10
26 796 13
26 813 2
26 834 10
26 879 1
26 886 11
26 904 5
26 909 12
26 916 15
26 941 3
26 963 4
26 966 8
26 970 3
26 982 9
27 9 0
27 24 6
27 35 2
27 73 1
27 102 7
27 108 1
27 158 5
27 162 4
27 170 11
27 171 1
27 197 8
27 205 4
27 290 7
27 296 5
27 300 11
27 302 14
27 303 0
27 307 10
27 321 0
27 330 3
27 336 1
27 350 7
27 368 8
27 404 0
27 434 6
27 435 9
27 441 0
27 444 15
27 447 10
27 469 9
27 490 11
27 502 9
27 503 6
27 522 1
27 530 2
27 562 6
27 574 4
27 575 3
27 580 14
27 591 7
27 602 7
27 612 13
27 628 14
27 629 12
27 645 10
27 654 2
27 660 4
27 697 8
27 729 9
27 754 10
27 758 6
27 760 15
27 772 10
27 779 1
27 785 5
27 797 15
27 803 14
27 824 6
27 858 12
27 859 8
27 876 11
27 886 6
27 966 4
27 524 12
27 549 6
27 559 7
27 572 14
27 606 7
27 611 2
27 657 4
27 671 8
27 733 4
27 746 14
27 748 1
27 753 10
27 768 14
27 781 14
27 787 9
27 807 10
27 810 12
27 821 11
27 845 13
27 873 5
27 882 12
27 909 14
27 937 2
27 940 1
27 955 1
27 993 14
27 994 12
27 998 15
28 16 3
28 19 3
28 48 12
28 57 7
28 69 12
28 82 6
28 83 8
28 92 6
28 113 15
28 145 10
28 150 14
28 168 14
28 191 1
28 228 10
28 260 1
28 282 11
28 287 14
28 334 13
28 380 13
28 392 15
28 402 0
28 419 3
28 447 10
28 451 2
28 468 4
28 524 15
28 527 11
28 542 8
28 560 13
28 569 1
28 575 11
28 595 14
28 607 4
28 627 2
28 660 14
28 674 8
28 693 7
28 696 0
28 698 8
28 716 8
28 757 9
28 785 0
28 795 7
28 804 7
28 820 13
28 864 0
28 867 4
28 899 4
28 930 11
28 933 14
28 935 12
28 943 7
28 538 6
28 604 12
28 606 8
28 613 4
28 679 0
28 734 10
28 743 7
28 763 9
28 765 3
28 776 12
28 801 10
28 853 13
28 866 7
28 871 7
28 888 0
28 917 8
28 946 15
28 959 5
28 969 8
28 973 10
28 992 8
28 995 8
29 8 11
29 43 12
29 55 1
29 67 8
29 97 6
29 110 4
29 122 11
29 130 12
29 144 3
29 160 3
29 177 12
29 196 2
29 202 12
29 245 14
29 269 0
29 270 5
29 280 13
29 281 4
29 288 1
29 290 10
29 318 6
29 330 6
29 331 6
29 333 10
29 365 15
29 366 10
29 377 1
29 386 10
29 394 2
29 436 11
29 442 7
29 445 14
29 546 9
29 551 6
29 600 3
29 609 15
29 615 7
29 626 0
29 627 4
29 633 10
29 661 0
29 732 2
29 777 9
29 779 4
29 794 8
29 805 15
29 826 6
29 835 10
29 856 4
29 858 2
29 872 4
29 880 13
29 899 3
29 900 2
29 904 2
29 907 4
29 999 2
29 516 1
29 526 1
29 535 9
29 591 0
29 594 12
29 605 4
29 640 13
29 646 14
29 669 12
29 690 8
29 701 12
29 703 3
29 705 13
29 730 5
29 749 0
29 751 2
29 753 4
29 793 0
29 810 0
29 832 1
29 850 2
29 853 7
29 908 3
29 950 5
29 959 12
29 989 4
29 998 8
30 64 13
30 82 12
30 105 14
30 137 9
30 177 9
30 203 7
30 235 6
30 239 1
30 247 11
30 259 13
30 260 1
30 268 3
30 276 5
30 293 7
30 302 8
30 307 7
30 311 13
30 319 6
30 338 6
30 342 8
30 346 10
30 388 5
30 414 0
30 441 2
30 457 1
30 460 11
30 485 7
30 502 3
30 517 5
30 522 11
30 527 4
30 528 6
30 530 10
30 537 3
30 540 11
30 556 12
30 579 13
30 582 8
30 642 13
30 666 0
30 712 8
30 749 12
30 758 5
30 772 4
30 773 12
30 775 4
30 780 8
30 861 7
30 882 13
30 887 14
30 909 5
30 944 4
30 949 11
30 953 2
30 961 4
30 978 0
30 984 7
30 536 6
30 554 8
30 563 11
30 567 6
30 584 4
30 610 9
30 677 11
30 682 2
30 685 0
30 705 2
30 708 3
30 731 0
30 808 13
30 831 15
30 842 12
30 853 6
30 855 11
30 858 12
30 872 8
30 889 9
30 897 6
30 919 10
30 940 0
30 962 1
30 970 11
31 9 14
31 10 14
31 12 15
31 15 5
31 18 0
31 80 5
31 96 3
31 182 3
31 189 14
31 263 5
31 272 7
31 277 1
31 285 12
31 288 4
31 301 0
31 311 7
31 346 7
31 353 13
31 358 2
31 397 4
31 425 12
31 428 5
31 432 13
31 434 11
31 436 13
31 458 5
31 490 8
31 547 3
31 550 14
31 559 9
31 571 5
31 677 5
31 695 7
31 702 11
31 728 15
31 769 10
31 790 8
31 799 7
31 813 0
31 814 13
