1000 48356
6 796 12
6 808 12
6 813 5
6 823 6
6 826 15
6 886 12
6 920 6
6 955 11
6 982 7
6 984 14
6 504 9
6 519 15
6 548 8
6 560 5
6 571 6
6 582 15
6 592 15
6 597 15
6 601 14
6 609 15
6 648 12
6 668 15
6 682 8
6 707 5
6 715 9
6 727 14
6 777 9
6 851 11
6 878 12
6 882 12
6 919 7
7 43 12
7 45 8
7 65 13
7 71 7
7 74 12
7 89 12
7 92 11
7 103 8
7 113 14
7 126 13
7 142 7
7 158 11
7 217 10
7 244 14
7 247 6
7 263 6
7 265 8
7 288 8
7 300 8
7 311 13
7 387 14
7 396 14
7 434 12
7 464 12
7 466 15
7 473 8
7 522 13
7 545 10
7 557 11
7 569 14
7 594 14
7 595 10
7 604 14
7 614 8
7 639 6
7 674 10
7 686 15
7 742 14
7 790 13
7 801 13
7 825 9
7 849 7
7 856 13
7 899 5
7 915 8
7 935 6
7 938 14
7 987 10
7 994 11
7 538 6
7 574 14
7 580 6
7 631 7
7 643 6
7 651 15
7 655 7
7 657 15
7 701 11
7 734 6
7 749 7
7 762 7
7 765 15
7 775 15
7 781 13
7 786 11
7 800 14
7 847 12
7 860 9
7 877 6
7 891 10
7 892 5
7 898 6
7 969 8
8 13 9
8 22 9
8 24 15
8 42 10
8 58 9
8 79 15
8 103 9
8 106 13
8 121 9
8 196 9
8 205 10
8 210 14
8 227 12
8 245 10
8 261 12
8 274 6
8 300 15
8 310 14
8 320 13
8 322 9
8 325 11
8 332 10
8 334 8
8 340 5
8 361 10
8 369 13
8 376 8
8 418 5
8 440 7
8 443 13
8 474 13
8 479 8
8 515 5
8 528 11
8 546 9
8 549 14
8 554 6
8 572 9
8 576 11
8 585 6
8 599 9
8 612 9
8 649 10
8 667 6
8 717 9
8 727 15
8 754 14
8 813 12
8 900 8
8 910 14
8 931 14
8 945 14
8 957 7
8 989 13
8 500 10
8 516 9
8 525 14
8 530 12
8 545 5
8 596 7
8 633 9
8 637 5
8 675 7
8 700 6
8 709 6
8 740 12
8 747 10
8 757 7
8 765 10
8 770 6
8 771 15
8 842 11
8 849 13
8 860 11
8 861 9
8 893 12
8 939 9
8 948 11
8 953 11
8 967 14
8 982 11
9 1 6
9 4 10
9 10 6
9 29 7
9 35 6
9 47 13
9 50 12
9 57 10
9 63 14
9 64 14
9 78 11
9 84 8
9 99 8
9 100 5
9 118 15
9 143 9
9 178 5
9 196 15
9 243 10
9 250 10
9 260 6
9 269 11
9 274 8
9 308 14
9 313 14
9 319 7
9 355 11
9 365 13
9 384 5
9 395 10
9 414 8
9 439 5
9 521 14
9 545 13
9 547 6
9 549 8
9 569 7
9 607 11
9 612 15
9 651 12
9 653 13
9 726 14
9 728 8
9 746 8
9 752 8
9 772 11
9 797 7
9 844 9
9 870 14
9 880 9
9 888 9
9 931 12
9 932 14
9 945 10
9 954 15
9 501 15
9 511 12
9 539 11
9 571 13
9 603 12
9 626 7
9 648 10
9 654 12
9 664 5
9 707 15
9 712 14
9 733 14
9 748 6
9 760 6
9 776 12
9 790 8
9 796 7
9 857 8
9 864 11
9 908 6
9 926 6
9 964 12
9 968 10
9 987 14
10 21 13
10 51 10
10 58 5
10 63 13
10 65 10
10 92 12
10 110 10
10 113 8
10 131 5
10 260 15
10 279 13
10 319 15
10 338 14
10 362 13
10 382 15
10 392 8
10 414 10
10 415 8
10 437 10
10 454 13
10 460 10
10 471 10
10 474 13
10 476 5
10 485 6
10 530 7
10 678 15
10 696 8
10 719 6
10 760 11
10 761 6
10 777 14
10 784 14
10 788 10
10 797 11
10 805 5
10 910 9
10 938 7
10 939 6
10 952 15
10 953 11
10 954 7
10 997 5
10 503 11
10 519 6
10 528 6
10 598 6
10 599 12
10 670 15
10 697 7
10 713 11
10 752 6
10 793 10
10 823 15
10 837 8
10 886 8
10 905 7
10 987 6
11 65 11
11 77 8
11 80 9
11 167 12
11 176 15
11 181 12
11 193 9
11 196 11
11 213 6
11 227 14
11 270 11
11 298 8
11 301 6
11 316 9
11 330 8
11 339 13
11 389 5
11 390 5
11 391 13
11 412 6
11 413 6
11 423 5
11 469 11
11 474 6
11 523 11
11 525 15
11 599 6
11 624 7
11 655 13
11 669 9
11 690 6
11 740 5
11 763 13
11 769 8
11 777 13
11 836 13
11 842 12
11 878 6
11 881 15
11 883 5
11 913 15
11 934 13
11 503 10
11 518 7
11 526 13
11 559 7
11 576 7
11 604 9
11 608 14
11 622 15
11 632 15
11 643 11
11 709 11
11 716 6
11 755 5
11 757 12
11 786 7
11 812 12
11 827 5
11 840 7
11 843 7
11 849 7
11 929 8
11 936 6
11 939 8
11 973 13
11 980 12
11 991 6
11 992 11
11 996 8
12 10 12
12 24 6
12 35 6
12 49 9
12 134 5
12 180 9
12 181 9
12 185 10
12 194 14
12 201 11
12 252 10
12 286 11
12 292 10
12 324 14
12 346 15
12 372 12
12 389 5
12 423 5
12 466 10
12 467 15
12 558 14
12 565 15
12 567 6
12 602 8
12 649 14
12 650 7
12 657 9
12 731 15
12 744 15
12 747 15
12 792 14
12 827 10
12 859 5
12 877 5
12 899 13
12 915 10
12 963 10
12 966 -2
12 980 12
12 501 9
12 502 10
12 504 6
12 559 10
12 560 10
12 563 13
12 572 8
12 580 15
12 619 13
12 673 14
12 675 11
12 678 9
12 703 14
12 716 13
12 780 8
12 805 13
12 837 13
12 846 11
12 851 5
12 860 15
12 878 12
12 882 5
12 891 9
12 897 9
12 914 7
12 920 5
12 948 6
12 995 8
13 6 8
13 9 14
13 44 6
13 53 15
13 69 15
13 95 12
13 169 9
13 172 15
13 175 8
13 224 5
13 239 14
13 246 5
13 264 12
13 278 13
13 288 7
13 290 6
13 313 14
13 328 12
13 341 11
13 348 12
13 355 13
13 362 12
13 368 7
13 379 13
13 391 6
13 406 14
13 415 12
13 417 13
13 428 14
13 444 15
13 453 11
13 484 12
13 499 14
13 516 7
13 536 14
13 560 9
13 563 12
13 594 15
13 632 9
13 671 10
13 681 9
13 687 11
13 695 7
13 701 15
13 715 10
13 761 8
13 812 12
13 832 8
13 870 5
13 910 7
13 911 5
13 912 10
13 918 11
13 948 5
13 973 8
13 556 10
13 618 5
13 621 7
13 623 10
13 652 15
13 661 8
13 672 9
13 675 13
13 678 11
13 707 8
13 711 13
13 727 7
13 730 5
13 745 12
13 771 5
13 838 12
13 866 13
13 881 13
13 900 8
13 908 11
13 928 14
13 942 9
13 990 10
13 995 5
13 997 8
14 12 6
14 23 12
14 31 14
14 89 9
14 104 13
14 106 13
14 152 11
14 187 10
14 188 14
14 200 9
14 206 6
14 219 11
14 224 10
14 230 7
14 231 15
14 252 9
14 262 13
14 271 5
14 272 11
14 289 5
14 295 6
14 320 7
14 333 6
14 393 9
14 419 10
14 492 13
14 498 14
14 521 8
14 524 13
14 552 13
14 563 11
14 569 10
14 655 5
14 659 10
14 681 13
14 688 11
14 724 7
14 744 15
14 756 15
14 759 6
14 796 13
14 814 15
14 829 15
14 835 5
14 847 5
14 859 6
14 880 10
14 881 9
14 921 5
14 938 8
14 980 8
14 986 5
14 989 8
14 506 13
14 529 15
14 629 11
14 656 9
14 678 6
14 727 13
14 731 5
14 770 5
14 808 8
14 816 11
14 865 11
14 882 11
14 899 6
14 901 13
14 951 14
14 967 11
14 978 10
14 995 12
15 11 6
15 13 9
15 57 10
15 79 5
15 84 15
15 162 9
15 236 7
15 245 12
15 257 12
15 259 13
15 337 15
15 367 14
15 369 15
15 503 9
15 518 12
15 526 5
15 527 8
15 532 9
15 543 8
15 549 7
15 592 6
15 623 6
15 641 10
15 658 5
15 665 14
15 682 13
15 731 7
15 733 13
15 774 7
15 796 14
15 809 7
15 835 5
15 859 10
15 865 10
15 866 11
15 885 9
15 890 10
15 905 13
15 968 9
15 986 12
15 506 7
15 528 6
15 606 8
15 609 15
15 617 9
15 622 14
15 726 10
15 768 7
15 782 11
15 858 15
15 871 10
15 875 13
15 914 9
15 942 14
15 944 7
15 960 6
15 993 5
16 0 9
16 14 14
16 32 12
16 106 5
16 108 12
16 123 6
16 145 5
16 170 6
16 181 13
16 208 12
16 272 8
16 282 13
16 301 10
16 319 11
16 320 13
16 322 8
16 351 13
16 398 6
16 402 9
16 404 6
16 406 12
16 432 13
16 452 10
16 499 7
16 517 14
16 518 8
16 544 9
16 553 7
16 578 8
16 585 7
16 619 12
16 630 15
16 650 9
16 656 14
16 688 6
16 704 14
16 746 15
16 830 13
16 835 10
16 844 7
16 863 7
16 886 11
16 908 10
16 939 12
16 940 8
16 958 10
16 961 6
16 990 12
16 501 6
16 503 8
16 508 6
16 533 5
16 551 11
16 565 6
16 590 12
16 643 9
16 702 7
16 722 8
16 752 5
16 757 14
16 775 6
16 798 14
16 805 8
16 885 6
16 895 11
16 909 15
16 919 14
17 71 11
17 169 12
17 195 13
17 203 13
17 225 15
17 230 7
17 242 13
17 270 5
17 274 10
17 321 14
17 371 11
17 376 12
17 380 8
17 381 10
17 406 11
17 422 6
17 478 8
17 501 5
17 506 15
17 518 5
17 531 6
17 539 10
17 554 15
17 566 7
17 570 13
17 590 8
17 592 5
17 601 11
17 603 6
17 606 6
17 637 5
17 648 5
17 699 7
17 708 6
17 734 7
17 751 9
17 797 5
17 802 10
17 835 13
17 847 6
17 852 6
17 886 13
17 939 8
17 944 8
17 975 8
17 513 8
17 522 15
17 542 11
17 549 6
17 553 12
17 565 13
17 584 5
17 605 12
17 616 15
17 643 15
17 650 13
17 654 9
17 736 9
17 742 6
17 758 14
17 773 10
17 789 12
17 796 9
17 938 12
17 954 6
17 982 15
17 997 9
18 33 9
18 64 7
18 74 10
18 87 6
18 155 9
18 163 9
18 177 9
18 207 9
18 210 8
18 227 10
18 263 14
18 271 9
18 324 8
18 330 10
18 334 8
18 352 5
18 393 13
18 395 8
18 437 9
18 441 10
18 471 11
18 564 9
18 565 11
18 621 6
18 635 8
18 654 13
18 678 6
18 700 7
18 717 10
18 718 8
18 751 9
18 772 9
18 774 6
18 786 8
18 799 12
18 807 6
18 874 6
18 896 9
18 897 12
18 903 9
18 917 5
18 921 10
18 947 5
18 985 8
18 528 11
18 535 5
18 554 9
18 557 13
18 559 9
18 569 15
18 577 5
18 589 6
18 611 14
18 628 8
18 645 15
18 673 12
18 681 11
18 683 6
18 727 9
18 739 6
18 761 9
18 771 12
18 848 13
18 861 8
18 866 11
18 881 11
18 916 6
18 936 8
18 946 10
19 3 14
19 5 11
19 10 11
19 45 12
19 49 10
19 52 12
19 59 15
19 93 14
19 99 15
19 104 11
19 108 10
19 132 10
19 137 5
19 141 14
19 165 11
19 190 14
19 204 10
19 217 9
19 221 7
19 222 5
19 227 10
19 257 15
19 272 10
19 309 12
19 381 14
19 395 10
19 419 14
19 425 12
19 432 11
19 433 14
19 449 14
19 457 8
19 462 12
19 471 15
19 489 15
19 491 7
19 520 5
19 564 15
19 570 -1
19 598 9
19 600 6
19 604 13
19 638 13
19 660 13
19 666 10
19 690 6
19 706 9
19 742 15
19 758 11
19 760 8
19 789 11
19 791 13
19 792 8
19 801 6
19 817 5
19 834 15
19 855 9
19 874 14
19 877 8
19 904 11
19 926 12
19 936 14
19 937 15
19 951 11
19 506 14
19 508 14
19 542 11
19 548 11
19 594 5
19 614 6
19 618 10
19 623 12
19 649 13
19 682 12
19 696 5
19 704 15
19 716 14
19 744 8
19 747 8
19 773 9
19 775 5
19 777 11
19 779 10
19 827 13
19 847 14
19 859 8
19 890 14
19 892 11
19 907 8
19 916 8
19 919 12
19 925 6
19 934 6
19 962 12
19 992 11
19 993 15
20 9 11
20 22 7
20 50 12
20 54 14
20 139 10
20 173 12
20 180 10
20 213 12
20 260 12
20 279 7
20 297 15
20 309 7
20 310 6
20 320 9
20 344 11
20 348 7
20 354 8
20 361 14
20 401 15
20 418 11
20 424 10
20 471 6
20 485 13
20 486 10
20 490 14
20 509 9
20 560 13
20 572 10
20 574 6
20 580 15
20 586 11
20 612 7
20 622 9
20 639 14
20 641 12
20 663 7
20 664 6
20 667 13
20 668 8
20 673 5
20 713 8
20 727 15
20 744 6
20 748 10
20 753 14
20 764 6
20 806 15
20 811 7
20 850 10
20 880 13
20 886 15
20 899 14
20 901 12
20 905 9
20 908 6
20 921 13
20 931 15
20 943 15
20 946 7
20 966 5
20 976 10
20 996 9
20 998 15
20 594 13
20 619 10
20 625 12
20 637 5
20 643 11
20 649 9
20 650 15
20 676 15
20 715 9
20 730 14
20 776 6
20 785 15
20 795 14
20 829 5
20 832 14
20 865 6
21 24 5
21 33 13
21 43 6
21 75 7
21 86 15
21 108 9
21 116 10
21 168 15
21 244 14
21 303 11
21 336 15
21 337 13
21 354 11
21 365 8
21 391 9
21 421 7
21 430 5
21 435 12
21 456 7
21 466 10
21 489 13
21 492 13
21 499 7
21 528 11
21 538 13
21 558 5
21 562 9
21 565 8
21 584 6
21 603 12
21 617 5
21 637 15
21 643 7
21 681 15
21 683 13
21 722 8
21 734 9
21 749 5
21 760 8
21 778 14
21 838 8
21 848 14
21 860 9
21 863 8
21 924 5
21 926 11
21 928 5
21 935 13
21 966 12
21 983 12
21 992 10
21 995 12
21 545 8
21 583 14
21 673 5
21 724 15
21 758 10
21 777 6
21 780 10
21 799 14
21 800 7
21 845 11
21 850 13
21 897 13
21 931 8
21 950 8
21 981 10
21 998 15
22 11 7
22 55 12
22 66 6
22 93 7
22 111 14
22 114 7
22 128 8
22 129 11
22 199 11
22 239 9
22 241 8
22 298 12
22 301 13
22 309 7
22 353 6
22 361 9
22 369 12
22 372 7
22 390 13
22 405 14
22 429 11
22 468 7
22 474 6
22 482 7
22 506 14
22 521 12
22 590 10
22 620 13
22 628 13
22 643 5
22 686 14
22 712 10
22 727 6
22 762 5
22 763 8
22 768 12
22 791 12
22 799 15
22 827 5
22 836 7
22 879 7
22 881 14
22 886 15
22 891 6
22 901 13
22 915 11
22 933 14
22 938 7
22 941 15
22 943 14
22 998 10
22 502 13
22 524 11
22 544 12
22 549 14
22 568 11
22 589 9
22 602 6
22 608 10
22 646 5
22 671 7
22 715 13
22 775 7
22 784 15
22 828 6
22 860 11
22 899 6
22 928 14
22 982 6
22 985 15
22 989 12
23 37 6
23 47 12
23 53 7
23 58 14
23 71 6
23 100 14
23 116 12
23 211 9
23 284 11
23 303 9
23 309 6
23 313 10
23 316 14
23 321 12
23 327 11
23 330 12
23 356 8
23 364 14
23 366 7
23 375 11
23 383 5
23 447 9
23 458 8
23 507 14
23 513 5
23 522 5
23 560 10
23 630 15
23 640 11
23 691 6
23 698 11
23 715 12
23 733 7
23 777 12
23 783 15
23 806 8
23 808 5
23 843 6
23 850 10
23 872 9
23 917 13
23 921 6
23 927 7
23 980 8
23 995 15
23 508 6
23 526 13
23 542 5
23 550 15
23 554 8
23 555 11
23 575 9
23 584 11
23 592 14
23 595 10
23 605 7
23 618 6
23 631 10
23 636 15
23 651 6
23 657 11
23 695 6
23 706 12
23 742 7
23 754 15
23 756 9
23 810 14
23 841 14
23 875 8
23 901 15
23 952 10
23 975 5
23 996 10
24 77 9
24 103 15
24 105 13
24 111 7
24 133 10
24 214 11
24 224 6
24 225 12
24 319 7
24 350 9
24 369 14
24 376 8
24 402 13
24 406 6
24 409 13
24 415 14
24 422 13
24 423 13
24 434 6
24 449 6
24 454 5
24 483 6
24 486 7
24 503 13
24 504 15
24 512 13
24 524 12
24 558 15
24 560 6
24 566 7
24 569 7
24 589 7
24 603 14
24 643 13
24 662 15
24 663 5
24 674 7
24 681 7
24 696 13
24 714 15
24 724 12
24 745 5
24 750 5
24 771 6
24 780 12
24 821 7
24 893 7
24 924 7
24 926 8
24 947 9
24 950 13
24 962 13
24 969 14
24 973 15
24 997 15
24 550 9
24 574 12
24 584 5
24 652 14
24 728 9
24 743 5
24 748 15
24 811 10
24 816 7
24 823 12
24 848 14
24 887 9
24 934 12
24 945 12
24 946 10
24 970 9
24 975 13
24 977 15
24 996 12
25 10 8
25 16 8
25 22 10
25 32 15
25 35 8
25 102 -6
25 107 6
25 120 5
25 126 10
25 129 5
25 141 8
25 203 9
25 207 15
25 219 11
25 220 14
25 225 11
25 227 15
25 251 15
25 256 14
25 281 7
25 310 13
25 317 15
25 321 11
25 346 8
25 399 6
25 431 5
25 461 10
25 474 7
25 488 9
25 512 10
25 519 7
25 563 9
25 564 8
25 599 11
25 615 6
25 629 8
25 670 11
25 707 11
25 730 9
25 751 8
25 761 15
25 770 5
25 775 12
25 795 12
25 850 9
25 868 12
25 898 14
25 928 7
25 945 6
25 502 10
25 571 13
25 573 7
25 584 6
25 596 9
25 630 15
25 635 9
25 650 8
25 687 6
25 700 14
25 738 15
25 741 5
25 778 9
25 806 6
25 842 8
25 846 9
25 883 9
25 885 5
25 897 8
25 940 8
25 962 6
25 971 14
26 0 10
26 17 8
26 53 11
26 55 9
26 110 7
26 135 13
26 136 13
26 149 7
26 160 13
26 185 14
26 192 11
26 200 13
26 205 15
26 218 13
26 224 6
26 232 12
26 241 9
26 248 9
26 249 13
26 265 14
26 274 10
26 275 11
26 286 9
26 290 7
26 374 6
26 395 6
26 410 14
26 416 15
26 431 8
26 442 9
26 464 9
26 476 10
26 500 13
26 520 13
26 534 9
26 548 6
26 549 7
26 575 9
26 596 13
26 605 12
26 607 8
26 709 5
26 711 8
26 718 8
26 741 14
26 754 14
26 763 12
26 804 14
26 811 10
26 853 10
26 856 13
26 868 5
26 882 6
26 889 12
26 922 14
26 937 10
26 951 6
26 502 12
26 512 14
26 561 7
26 589 14
26 592 6
26 593 6
26 598 10
26 604 8
26 609 5
26 641 10
26 642 10
26 655 11
26 684 12
26 701 12
26 720 14
26 731 10
26 772 12
26 796 10
26 813 10
26 834 5
26 879 11
26 886 13
26 904 13
26 909 15
26 916 9
26 941 6
26 963 15
26 966 12
26 970 5
26 982 6
27 9 10
27 24 13
27 35 12
27 73 11
27 102 14
27 108 15
27 158 7
27 162 10
27 170 12
27 171 15
27 197 8
27 205 8
27 290 9
27 296 8
27 300 15
27 302 5
27 303 15
27 307 11
27 321 12
27 330 6
27 336 11
27 350 9
27 368 10
27 404 9
27 434 10
27 435 8
27 441 13
27 444 15
27 447 8
27 469 9
27 490 8
27 502 8
27 503 13
27 522 6
27 530 6
27 562 5
27 574 7
27 575 11
27 580 14
27 591 13
27 602 12
27 612 11
27 628 13
27 629 8
27 645 6
27 654 12
27 660 6
27 697 12
27 729 7
27 754 10
27 758 12
27 760 14
27 772 7
27 779 8
27 785 11
27 797 13
27 803 13
27 824 6
27 858 8
27 859 9
27 876 5
27 886 9
27 966 15
27 524 11
27 549 15
27 559 8
27 572 6
27 606 13
27 611 5
27 657 10
27 671 9
27 733 11
27 746 8
27 748 13
27 753 12
27 768 13
27 781 8
27 787 7
27 807 5
27 810 6
27 821 5
27 845 14
27 873 13
27 882 12
27 909 9
27 937 5
27 940 5
27 955 5
27 993 9
27 994 5
27 998 13
28 16 14
28 19 5
28 48 15
28 57 15
28 69 14
28 82 14
28 83 5
28 92 13
28 113 7
28 145 10
28 150 7
28 168 14
28 191 15
28 228 6
28 260 11
28 282 14
28 287 5
28 334 12
28 380 10
28 392 6
28 402 7
28 419 11
28 447 7
28 451 13
28 468 6
28 524 5
28 527 12
28 542 6
28 560 14
28 569 15
28 575 11
28 595 5
28 607 5
28 627 6
28 660 13
28 674 10
28 693 6
28 696 8
28 698 5
28 716 6
28 757 5
28 785 14
28 795 14
28 804 7
28 820 13
28 864 6
28 867 7
28 899 9
28 930 15
28 933 8
28 935 7
28 943 8
28 538 7
28 604 12
28 606 10
28 613 6
28 679 12
28 734 13
28 743 5
28 763 11
28 765 14
28 776 9
28 801 11
28 853 10
28 866 9
28 871 8
28 888 14
28 917 5
28 946 8
28 959 7
28 969 7
28 973 10
28 992 6
28 995 11
29 8 12
29 43 13
29 55 13
29 67 7
29 97 7
29 110 11
29 122 10
29 130 10
29 144 12
29 160 12
29 177 15
29 196 14
29 202 14
29 245 10
29 269 6
29 270 5
29 280 7
29 281 12
29 288 5
29 290 5
29 318 15
29 330 11
29 331 13
29 333 11
29 365 7
29 366 15
29 377 12
29 386 7
29 394 5
29 436 11
29 442 6
29 445 5
29 546 15
29 551 15
29 600 5
29 609 12
29 615 12
29 626 6
29 627 7
29 633 15
29 661 15
29 732 9
29 777 9
29 779 7
29 794 7
29 805 15
29 826 15
29 835 14
29 856 8
29 858 9
29 872 9
29 880 11
29 899 10
29 900 10
29 904 9
29 907 13
29 999 14
29 516 5
29 526 13
29 535 14
29 591 10
29 594 9
29 605 8
29 640 6
29 646 5
29 669 7
29 690 11
29 701 15
29 703 11
29 705 12
29 730 14
29 749 5
29 751 8
29 753 12
29 793 7
29 810 5
29 832 9
29 850 12
29 853 7
29 908 5
29 950 15
29 959 -5
29 989 12
29 998 12
30 64 10
30 82 9
30 105 6
30 137 10
30 177 10
30 203 5
30 235 14
30 239 14
30 247 8
30 259 11
30 260 13
30 268 5
30 276 9
30 293 13
30 302 13
30 307 7
30 311 5
30 319 13
30 338 10
30 342 14
30 346 14
30 388 13
30 414 15
30 441 5
30 457 7
30 460 14
30 485 6
30 502 15
30 517 12
30 522 13
30 527 6
30 528 11
30 530 5
30 537 10
30 540 11
30 556 10
30 579 14
30 582 11
30 642 5
30 666 9
30 712 12
30 749 15
30 758 15
30 772 10
30 773 9
30 775 11
30 780 5
30 861 15
30 882 8
30 887 10
30 909 15
30 944 13
30 949 13
30 953 15
30 961 13
30 978 9
30 984 8
30 536 5
30 554 10
30 563 10
30 567 7
30 584 7
30 610 10
30 677 9
30 682 7
30 685 9
30 705 11
30 708 11
30 731 13
30 808 10
30 831 11
30 842 9
30 853 10
30 855 5
30 858 11
30 872 7
30 889 7
30 897 9
30 919 10
30 940 13
30 962 7
30 970 11
31 9 6
31 10 9
31 12 7
31 15 8
31 18 15
31 80 7
31 96 14
31 182 9
31 189 9
31 263 7
31 272 14
31 277 12
31 285 14
31 288 13
31 301 13
31 311 9
31 346 10
31 353 10
31 358 10
31 397 8
31 425 14
31 428 11
31 432 15
31 434 15
31 436 13
31 458 8
31 490 8
31 547 6
31 550 14
31 559 13
31 571 6
31 677 9
31 695 15
31 702 14
31 728 14
31 769 9
31 790 15
31 799 10
31 813 13
